salonized_id;category;supplier;part_number;ean;name;price;cost_price;vat_percentage;stock_enabled;stock_minimum;stock_maximum;stock;stock_value;stock_1-1-2023;stock_value_1-1-2023;stock_1-1-2024;stock_value_1-1-2024;stock_1-1-2025;stock_value_1-1-2025
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
2640789;Opleidingsbenodigdheden ;;;;Wenkbrauw trim-setje;15;0;21;1;0;0;17;0;29;0;16;0;23;0
2644224;Overig;;;;Combinal mini kit;25,5;0;21;1;0;0;14;0;0;0;9;0;5;0
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
2713270;Overig;;;;Nano Lash;39,95;0;21;1;0;0;20;0;19;0;13;0;4;0
2713271;Overig;;;;Nano Brow;42,95;0;21;1;0;0;10;0;23;0;15;0;10;0
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
3039325;Overig;;;;Zonnestick La Roche;14,95;0;21;1;0;0;8;0;0;0;5;0;1;0
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
3569705;Opleidingsbenodigdheden ;;;;Lip & wenkbrauw folie 200 meter;4,5;0,68;21;1;0;0;1000;680;0;0;0;0;0;0
3569709;Opleidingsbenodigdheden ;;;;Meetlint/Ruler 50 stuks;9,95;3,8;21;1;0;0;1000;3800;0;0;0;0;0;0
3569710;Opleidingsbenodigdheden ;;;;Magic 3D eyebrow pencil - zwart;9,95;0,7;21;1;0;0;996;697,2;0;0;0;0;0;0
3569711;Opleidingsbenodigdheden ;;;;Magic 3D eyebrow pencil - bruin;9,95;0,7;21;1;0;0;995;696,5;0;0;0;0;0;0
3569712;Opleidingsbenodigdheden ;;;;Magic 3D eyebrow pencil - wit;9,95;0,7;21;1;0;0;500;350;0;0;0;0;0;0
3569713;Opleidingsbenodigdheden ;;;;Latex oefenhuid - Met voorgetekende wenkbrauwen;3,2;0,75;21;1;0;0;1000;750;0;0;0;0;0;0
3569715;Opleidingsbenodigdheden ;;;;Latex oefenhuid - Zonder voorgetekende wenkbrauwen;3;0,75;21;1;0;0;1000;750;0;0;0;0;0;0
3569716;Opleidingsbenodigdheden ;;;;3 slope naalden- 20 stuks;43,5;1;21;1;0;0;100;100;0;0;0;0;0;0
3569717;Opleidingsbenodigdheden ;;;;1 RL 0.30 naald- 20 stuks;30;1;21;1;0;0;100;100;0;0;0;0;0;0
3569719;Opleidingsbenodigdheden ;;;;3RL 0.30 naald- 20 stuks;32,5;1;21;1;0;0;100;100;0;0;0;0;0;0
3569720;Opleidingsbenodigdheden ;;;;3RS 0.30 naald- 20 stuks;32,5;1;21;1;0;0;100;100;0;0;0;0;0;0
3569721;Opleidingsbenodigdheden ;;;;Medisch instrumenten schaaltje- 1 stuk;7,5;1,3;21;1;0;0;200;260;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
3848956;Opleidingsbenodigdheden ;;;;Mast | Permanente Make-up Apparaat;300;0;21;1;0;0;50;0;0;0;0;0;0;0
4031932;Opleidingsbenodigdheden ;;;;Magic 3D eyebrow pencil - rood;9,95;0,7;21;1;0;0;1000;700;0;0;0;0;0;0
