Categorie,Dienst,Prijs
Algemeen,Korting 70+ jaar,"€ -50,00"
Nieuwe behandeling wenkbrauwen,Eerste behandeling wenkbrauwen - 3D,"€ 445,00"
Nieuwe behandeling wenkbrauwen,Eerste behandeling wenkbrauwen - Powder/Ombré,"€ 445,00"
Nieuwe behandeling wenkbrauwen,Eerste behandeling wenkbrauwen - Combi,"€ 445,00"
Nieuwe behandeling wenkbrauwen,Nieuwe behandeling wenkbrauwen - aanbetaling,"€ 90,00"
Nieuwe behandeling eyeliner,Eerste behandeling infralash eyeliner boven,"€ 225,00"
Nieuwe behandeling eyeliner,Eerste behandeling infralash eyeliner onder,"€ 170,00"
Nieuwe behandeling eyeliner,Eerste behandeling small eyeliner boven,"€ 260,00"
Nieuwe behandeling eyeliner,Eerste behandeling small eyeliner onder,"€ 200,00"
Nieuwe behandeling eyeliner,Eerste behandeling medium eyeliner boven,"€ 315,00"
Nieuwe behandeling eyeliner,Eerste behandeling medium eyeliner onder,"€ 255,00"
Nieuwe behandeling eyeliner,Eerste behandeling large eyeliner boven,"€ 370,00"
Nieuwe behandeling eyeliner,Eerste behandeling large eyeliner onder,"€ 300,00"
Nieuwe behandeling eyeliner,Eerste behandeling half small eyeliner boven,"€ 215,00"
Nieuwe behandeling eyeliner,Eerste behandeling half small eyeliner onder,"€ 140,00"
Nieuwe behandeling eyeliner,Eerste behandeling half medium eyeliner boven,"€ 270,00"
Nieuwe behandeling eyeliner,Eerste behandeling half medium eyeliner onder,"€ 210,00"
Nieuwe behandeling eyeliner,Eerste behandeling half large eyeliner boven,"€ 330,00"
Nieuwe behandeling eyeliner,Eerste behandeling half large eyeliner onder,"€ 255,00"
Nieuwe behandeling eyeliner,Eerste behandeling shadow eyeliner,"€ 370,00"
Nieuwe behandeling eyeliner,Eerste behandeling stardust arcade eyeliner (1 kleur),"€ 415,00"
Nieuwe behandeling eyeliner,Eerste behandeling stardust eyeliner onder,"€ 200,00"
Nieuwe behandeling eyeliner,Eerste behandeling hoekje eyeliner onder/boven,"€ 75,00"
Nieuwe behandeling eyeliner,Eyeliner verlenging wimperrand/wing,"€ 40,00"
Nieuwe behandeling eyeliner,Nieuwe behandeling eyeliner - aanbetaling,"€ 90,00"
Nieuwe behandeling lippen,Eerste behandeling lipline boven & onder,"€ 395,00"
Nieuwe behandeling lippen,Eerste behandeling lipline boven,"€ 200,00"
Nieuwe behandeling lippen,Eerste behandeling lipline onder,"€ 165,00"
